         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10067, 20.5273, -24.0388, 3.12091, -8.8807, -34.5521, 1.49095, 20.5254, -24.0336, 3.12917
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10068, -15.6242, -28.9048, 0.836407, -70.8054, 54.1903, 4.20196, -15.6239, -28.891, 0.862986
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10069, 15.9535, -23.1217, 0.543907, -36.3868, 37.8069, 1.16867, 15.9498, -23.1226, 0.585195
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10070, -30.3863, 30.6423, 2.65241, -85.4614, 37.7352, 2.63955, -30.3863, 30.6423, 2.65241
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10071, -16.2676, 19.9708, 0.325907, 65.7976, -74.2362, 2.65159, -16.2676, 19.9708, 0.325907
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10072, -35.9117, -2.8385, -1.29049, 94.0356, -27.7143, 2.91364, -35.9121, -2.8385, 1.8511
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10073, -27.6706, 13.0667, 0.641307, -54.3887, -72.4688, 1.18558, -27.6706, 13.0667, 0.641307
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10074, -12.1437, -21.5989, 2.58411, -54.9227, -37.5728, 1.03173, -12.1437, -21.5989, 2.58411
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10075, 0.0448, 22.6186, -1.35999, -62.9663, -62.4895, 4.45356, 0.0448, 22.6186, 1.7816
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10076, -44.7232, 11.8409, 1.48751, 12.2649, 74.0462, 1.30403, -44.7232, 11.8409, 1.48751
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10077, -41.4324, -6.2137, -1.14289, -50.9874, 96.6532, 3.18692, -41.4324, -6.2137, 1.9987
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10078, -34.4523, 9.4266, -2.44399, -31.1409, -41.7832, 2.13134, -34.4523, 9.4266, 1.83642
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10079, 35.1651, -48.8817, -0.00359265, -94.2325, 40.2806, 3.4189, 35.1706, -48.8916, 3.03537
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10080, -6.5105, 0.2537, -0.165793, -34.8102, 64.1606, 4.21491, -6.47742, 0.259353, 2.92448
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10081, -30.3267, -4.2625, 0.621007, 22.3266, -22.5099, 2.85114, -30.2242, -4.15778, 0.637042
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10082, 14.9378, 30.8766, -0.153493, -49.8622, 83.2656, 2.94045, 14.9366, 30.8623, 2.86192
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10083, 21.0723, -14.6453, 1.09141, -6.2953, 45.3638, 2.29713, 21.0973, -14.549, 1.06366
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10084, -17.5332, 15.6854, -1.96389, -9.2071, 1.1619, 3.72601, -17.5472, 15.6585, 1.1622
