         , Xa,Ya, YAWa, Vx, Vy, Vyaw, wR, wL, CTRLA, CTRLB, Xb, Yb, YAWb, Vx, Vy, Vyaw, wR2, wL2
79, 1.44693, 8.09932, 57.4593, 0.0973206, 0.182033, -0.0519018, -0.0518869, -0.052446, 0.4763, -0.01, 1.49139, 8.18138, 57.8425, 0.0788047, 0.144103, 0.0711482, 0.0712799, 0.0709361
80, 1.49139, 8.18138, 57.8425, 0.0788047, 0.144103, 0.0711482, 0.0712799, 0.0709361, 0.4137, 0.2375, 1.52384, 8.24081, 60.613, 0.0488219, 0.0899853, 0.111741, 0.111801, 0.111735
81, 1.52384, 8.24081, 60.613, 0.0488219, 0.0899853, 0.111741, 0.111801, 0.111735, -0.1494, 0.3816, 1.54412, 8.27819, 62.5089, 0.0348653, 0.0643399, 0.00325263, 0.0032616, 0.00324298
82, 1.54412, 8.27819, 62.5089, 0.0348653, 0.0643399, 0.00325263, 0.0032616, 0.00324298, -0.3002, 0.3396, 1.55996, 8.30747, 60.5848, 0.0309154, 0.0571604, -0.136319, -0.136455, -0.136231
83, 1.55996, 8.30747, 60.5848, 0.0309154, 0.0571604, -0.136319, -0.136455, -0.136231, -0.444, -0.3597, 1.58237, 8.34704, 56.1622, 0.0651454, 0.10963, -0.155426, -0.15595, -0.155774
84, 1.58237, 8.34704, 56.1622, 0.0651454, 0.10963, -0.155426, -0.15595, -0.155774, 0.1101, 0.3918, 1.61453, 8.4001, 51.367, 0.0520619, 0.0866255, -0.184081, -0.184221, -0.183903
85, 1.61453, 8.4001, 51.367, 0.0520619, 0.0866255, -0.184081, -0.184221, -0.183903, -0.3236, -0.3582, 1.64722, 8.44904, 46.3425, 0.0893506, 0.119913, -0.158237, -0.159117, -0.158926
86, 1.64722, 8.44904, 46.3425, 0.0893506, 0.119913, -0.158237, -0.159117, -0.158926, -0.2878, 0.2777, 1.69595, 8.5106, 40.9542, 0.10273, 0.122794, -0.233181, -0.23458, -0.232939
87, 1.69595, 8.5106, 40.9542, 0.10273, 0.122794, -0.233181, -0.23458, -0.232939, -0.1194, -0.2391, 1.75394, 8.574, 34.5478, 0.130962, 0.13105, -0.195187, -0.196607, -0.19639
88, 1.75394, 8.574, 34.5478, 0.130962, 0.13105, -0.195187, -0.196607, -0.19639, 0.0716, 0.2077, 1.82043, 8.63657, 29.2571, 0.125673, 0.113287, -0.181964, -0.182797, -0.181957
