         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
107, 0, 0, 0, -28.8723, 62.4777, 4.86614, 4.44066e-05, -4.21393e-06, 4.84835e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
108, 0, 0, 0, 63.0292, -76.5621, 4.65708, -2.40202e-07, -2.46561e-07, -2.62682e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
109, 0, 0, 0, 9.541, 12.1055, 4.39052, -1.23634e-05, -3.17436e-06, 2.678e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
110, 0, 0, 0, 56.6122, -43.9097, 1.07147, -9.48993e-06, -7.85612e-06, 0.000105592
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
111, 0, 0, 0, 10.3437, -76.7254, 1.77176, -1.3265e-06, -1.13353e-06, -2.55309e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
112, 0, 0, 0, 67.8004, -10.4802, 1.33629, 9.32396e-07, -1.01487e-06, -2.23472e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
113, 0, 0, 0, 69.3231, -75.1344, 1.46885, 6.69919e-05, 4.84125e-06, -0.000139985
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
114, 0, 0, 0, 55.603, -1.8664, 2.08817, 1.72147e-06, -6.94049e-08, 2.32788e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
115, 0, 0, 0, 36.0969, 11.0126, 4.78862, 1.73601e-06, -8.19975e-07, -2.42454e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
116, 0, 0, 0, -8.0614, 33.0251, 1.91521, 2.71454e-06, -9.57512e-07, -3.70609e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
117, 0, 0, 0, -6.532, 0.6042, 1.91871, -2.36944e-06, -1.86087e-06, -2.97948e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
118, 0, 0, 0, -7.8753, 93.2943, 1.17994, 1.7857e-06, -8.07383e-07, -2.6105e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
119, 0, 0, 0, 36.6491, 9.6407, 4.62856, 8.41788e-07, -3.66742e-07, -1.25179e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
120, 0, 0, 0, -67.077, 37.1389, 1.75466, 8.45221e-06, -8.81993e-06, -1.26042e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
121, 0, 0, 0, -50.8261, -0.2543, 0.282711, -8.59798e-07, -5.66896e-07, -2.69209e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
122, 0, 0, 0, -48.0573, 96.5897, 4.75627, 1.12819e-17, -5.76448e-19, -9.51915e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
123, 0, 0, 0, -39.0245, -47.5375, 1.8684, -0.0551714, -0.00194249, 0.0546599
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
124, 0, 0, 0, 29.3823, -97.7293, 1.71295, -4.07944e-07, -4.21845e-07, -2.10821e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
125, 0, 0, 0, 89.6568, 69.2006, 1.54887, 1.40672e-06, -8.80376e-07, -3.08439e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
126, 0, 0, 0, -29.7548, 62.428, 0.301944, 1.68e-06, -4.81182e-08, 2.44157e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
127, 0, 0, 0, 48.7773, 93.086, 1.13467, 3.59608e-06, -1.59622e-06, 4.95656e-06
