         , Xa,Ya, YAWa, Vx, Vy, Vyaw, wR, wL, CTRLA, CTRLB, Xb, Yb, YAWb, Vx, Vy, Vyaw, wR2, wL2
66, -1.8897, -0.634819, 15.2472, 0.0384966, 0.0134369, -0.122042, -0.122176, -0.122226, -0.1067, 0.2149, -1.86616, -0.627272, 11.5895, 0.040501, 0.0129023, -0.149346, -0.149359, -0.149339
67, -1.86616, -0.627272, 11.5895, 0.040501, 0.0129023, -0.149346, -0.149359, -0.149339, 0.0149, 0.1883, -1.84871, -0.621718, 6.95987, 0.028069, 0.00905045, -0.168979, -0.169001, -0.168892
68, -1.84871, -0.621718, 6.95987, 0.028069, 0.00905045, -0.168979, -0.169001, -0.168892, 0.3165, 0.1419, -1.84582, -0.618721, 2.76103, -0.0134022, 0.00377266, -0.115629, -0.115596, -0.115602
69, -1.84582, -0.618721, 2.76103, -0.0134022, 0.00377266, -0.115629, -0.115596, -0.115602, 0.1149, 0.4668, -1.86659, -0.617556, -0.881641, -0.0732437, 0.00174368, -0.152913, -0.152953, -0.153155
70, -1.86659, -0.617556, -0.881641, -0.0732437, 0.00174368, -0.152913, -0.152953, -0.153155, 0.2265, 0.1001, -1.91156, -0.616236, -4.95337, -0.108056, 0.00434462, -0.118473, -0.118626, -0.118626
71, -1.91156, -0.616236, -4.95337, -0.108056, 0.00434462, -0.118473, -0.118626, -0.118626, -0.3983, -0.0381, -1.96102, -0.614038, -8.74061, -0.0758239, 0.00270302, -0.158839, -0.158786, -0.158886
72, -1.96102, -0.614038, -8.74061, -0.0758239, 0.00270302, -0.158839, -0.158786, -0.158886, -0.4847, -0.3212, -1.98391, -0.614646, -13.6376, -0.00744524, -0.007575, -0.176746, -0.176598, -0.176688
73, -1.98391, -0.614646, -13.6376, -0.00744524, -0.007575, -0.176746, -0.176598, -0.176688, -0.4612, -0.0136, -1.97277, -0.621778, -19.4466, 0.0421298, -0.0192397, -0.235262, -0.234959, -0.235247
74, -1.97277, -0.621778, -19.4466, 0.0421298, -0.0192397, -0.235262, -0.234959, -0.235247, 0.1305, 0.2087, -1.95162, -0.631061, -26.2384, 0.0296312, -0.0129008, -0.228297, -0.228299, -0.228285
75, -1.95162, -0.631061, -26.2384, 0.0296312, -0.0129008, -0.228297, -0.228299, -0.228285, 0.0631, 0.2016, -1.94394, -0.633881, -32.602, 0.00709802, -0.00134252, -0.218041, -0.218042, -0.217889
76, -1.94394, -0.633881, -32.602, 0.00709802, -0.00134252, -0.218041, -0.218042, -0.217889, 0.1201, -0.0407, -1.94482, -0.631839, -38.0769, -0.00643402, 0.00710139, -0.157359, -0.157359, -0.157359
77, -1.94482, -0.631839, -38.0769, -0.00643402, 0.00710139, -0.157359, -0.157359, -0.157359, 0.2842, -0.0175, -1.95118, -0.625827, -41.334, -0.0251776, 0.0225034, -0.0687438, -0.0687471, -0.0687441
78, -1.95118, -0.625827, -41.334, -0.0251776, 0.0225034, -0.0687438, -0.0687471, -0.0687441, 0.3738, -0.4311, -1.96361, -0.614708, -40.9806, -0.0218413, 0.0196038, 0.102651, 0.102693, 0.102622
79, -1.96361, -0.614708, -40.9806, -0.0218413, 0.0196038, 0.102651, 0.102693, 0.102622, -0.3944, 0.3133, -1.97447, -0.605054, -39.0724, -0.0166855, 0.0149862, -0.0103002, -0.0104625, -0.0101075
80, -1.97447, -0.605054, -39.0724, -0.0166855, 0.0149862, -0.0103002, -0.0104625, -0.0101075, 0.0331, 0.4063, -1.98861, -0.59288, -40.9222, -0.0462644, 0.0395039, -0.106086, -0.106085, -0.106057
81, -1.98861, -0.59288, -40.9222, -0.0462644, 0.0395039, -0.106086, -0.106085, -0.106057, 0.4662, 0.3891, -2.02349, -0.562314, -43.9115, -0.100806, 0.0907732, -0.0898011, -0.0899811, -0.0899865
82, -2.02349, -0.562314, -43.9115, -0.100806, 0.0907732, -0.0898011, -0.0899811, -0.0899865, 0.356, 0.0481, -2.08322, -0.507038, -45.4775, -0.130868, 0.123614, -0.0151047, -0.0154252, -0.0152974
83, -2.08322, -0.507038, -45.4775, -0.130868, 0.123614, -0.0151047, -0.0154252, -0.0152974, 0.226, 0.3698, -2.15913, -0.433745, -45.8795, -0.171158, 0.167907, -0.0258881, -0.0261529, -0.0262254
84, -2.15913, -0.433745, -45.8795, -0.171158, 0.167907, -0.0258881, -0.0261529, -0.0262254, -0.2487, -0.1297, -2.24271, -0.351083, -46.9743, -0.157584, 0.157057, -0.0491456, -0.0491933, -0.0492968
85, -2.24271, -0.351083, -46.9743, -0.157584, 0.157057, -0.0491456, -0.0491933, -0.0492968, -0.4982, -0.0787, -2.3115, -0.282297, -49.3389, -0.117175, 0.117366, -0.122388, -0.122178, -0.122643
86, -2.3115, -0.282297, -49.3389, -0.117175, 0.117366, -0.122388, -0.122178, -0.122643, 0.2327, -0.3614, -2.36531, -0.227444, -51.6197, -0.0996245, 0.1038, -0.0106351, -0.011154, -0.010549
87, -2.36531, -0.227444, -51.6197, -0.0996245, 0.1038, -0.0106351, -0.011154, -0.010549, 0.3938, -0.427, -2.41365, -0.175744, -49.4123, -0.0950271, 0.103693, 0.165804, 0.165607, 0.165887
88, -2.41365, -0.175744, -49.4123, -0.0950271, 0.103693, 0.165804, 0.165607, 0.165887, 0.4063, -0.1229, -2.46369, -0.1212, -43.0165, -0.110924, 0.11871, 0.268742, 0.269691, 0.26874
89, -2.46369, -0.1212, -43.0165, -0.110924, 0.11871, 0.268742, 0.269691, 0.26874, -0.2951, -0.4742, -2.51154, -0.0700083, -35.0307, -0.0682792, 0.0768638, 0.277997, 0.278106, 0.277499
90, -2.51154, -0.0700083, -35.0307, -0.0682792, 0.0768638, 0.277997, 0.278106, 0.277499, 0.1005, -0.4629, -2.53783, -0.0392141, -26.2924, -0.0381393, 0.0480485, 0.341231, 0.341799, 0.340382
91, -2.53783, -0.0392141, -26.2924, -0.0381393, 0.0480485, 0.341231, 0.341799, 0.340382, -0.3174, 0.4757, -2.55711, -0.0176909, -18.5989, -0.0489465, 0.0420911, 0.161887, 0.161639, 0.162515
92, -2.55711, -0.0176909, -18.5989, -0.0489465, 0.0420911, 0.161887, 0.161639, 0.162515, -0.4646, 0.3217, -2.57983, 0.000696741, -16.983, -0.0393667, 0.0310845, -0.0423749, -0.0427044, -0.041965
93, -2.57983, 0.000696741, -16.983, -0.0393667, 0.0310845, -0.0423749, -0.0427044, -0.041965, -0.1969, 0.434, -2.60381, 0.0161842, -20.3509, -0.0566161, 0.0315677, -0.183513, -0.183623, -0.183061
94, -2.60381, 0.0161842, -20.3509, -0.0566161, 0.0315677, -0.183513, -0.183623, -0.183061, 0.3109, 0.4004, -2.64571, 0.0369214, -26.0113, -0.11689, 0.0558316, -0.195213, -0.195361, -0.195476
95, -2.64571, 0.0369214, -26.0113, -0.11689, 0.0558316, -0.195213, -0.195361, -0.195476, -0.4752, 0.0183, -2.70102, 0.0635093, -32.3338, -0.0935388, 0.0448285, -0.255996, -0.255676, -0.256279
96, -2.70102, 0.0635093, -32.3338, -0.0935388, 0.0448285, -0.255996, -0.255676, -0.256279, 0.3723, -0.1889, -2.74711, 0.0871309, -38.2568, -0.0950671, 0.0530346, -0.130566, -0.131198, -0.130668
97, -2.74711, 0.0871309, -38.2568, -0.0950671, 0.0530346, -0.130566, -0.131198, -0.130668, -0.1843, 0.1423, -2.79457, 0.115546, -41.8325, -0.0922525, 0.0586147, -0.144609, -0.14451, -0.145122
98, -2.79457, 0.115546, -41.8325, -0.0922525, 0.0586147, -0.144609, -0.14451, -0.145122, 0.1461, 0.1719, -2.84297, 0.149277, -46.0047, -0.105764, 0.0810794, -0.138197, -0.138615, -0.13887
99, -2.84297, 0.149277, -46.0047, -0.105764, 0.0810794, -0.138197, -0.138615, -0.13887, -0.2137, -0.3367, -2.88969, 0.185686, -49.364, -0.0734816, 0.0556133, -0.0933327, -0.0932522, -0.0932205
100, -2.88969, 0.185686, -49.364, -0.0734816, 0.0556133, -0.0933327, -0.0932522, -0.0932205, 0.4411, -0.4446, -2.923, 0.211935, -49.6567, -0.0631343, 0.0527989, 0.0894369, 0.088818, 0.0897967
101, -2.923, 0.211935, -49.6567, -0.0631343, 0.0527989, 0.0894369, 0.088818, 0.0897967, -0.1017, 0.3389, -2.95616, 0.241644, -47.402, -0.0737898, 0.0700007, 0.0308577, 0.0308194, 0.0305798
102, -2.95616, 0.241644, -47.402, -0.0737898, 0.0700007, 0.0308577, 0.0308194, 0.0305798, -0.3013, -0.278, -2.98678, 0.270641, -47.1007, -0.0417714, 0.0383604, 0.00315937, 0.00322441, 0.00321523
103, -2.98678, 0.270641, -47.1007, -0.0417714, 0.0383604, 0.00315937, 0.00322441, 0.00321523, -0.0761, 0.495, -3.00977, 0.292667, -48.3471, -0.0571307, 0.0574194, -0.10277, -0.102769, -0.103012
104, -3.00977, 0.292667, -48.3471, -0.0571307, 0.0574194, -0.10277, -0.102769, -0.103012, 0.382, -0.3935, -3.03982, 0.323761, -49.8588, -0.0605666, 0.0641999, 0.0324301, 0.032331, 0.032479
105, -3.03982, 0.323761, -49.8588, -0.0605666, 0.0641999, 0.0324301, 0.032331, 0.032479, 0.4385, 0.0561, -3.07507, 0.362046, -47.3376, -0.0856199, 0.0940274, 0.129043, 0.129295, 0.129113
106, -3.07507, 0.362046, -47.3376, -0.0856199, 0.0940274, 0.129043, 0.129295, 0.129113, -0.428, 0.1472, -3.11752, 0.408384, -44.8739, -0.0762009, 0.0828098, 0.0182454, 0.0181506, 0.0184326
107, -3.11752, 0.408384, -44.8739, -0.0762009, 0.0828098, 0.0182454, 0.0181506, 0.0184326, -0.0464, -0.315, -3.15061, 0.444253, -44.3804, -0.0543312, 0.0589475, 0.0402209, 0.0402504, 0.0401643
108, -3.15061, 0.444253, -44.3804, -0.0543312, 0.0589475, 0.0402209, 0.0402504, 0.0401643, 0.4544, -0.0559, -3.18048, 0.475736, -41.8916, -0.0748862, 0.0757638, 0.137632, 0.13811, 0.137641
109, -3.18048, 0.475736, -41.8916, -0.0748862, 0.0757638, 0.137632, 0.13811, 0.137641, 0.283, -0.4467, -3.21787, 0.512659, -36.1003, -0.0696711, 0.0675565, 0.268864, 0.269411, 0.268538
110, -3.21787, 0.512659, -36.1003, -0.0696711, 0.0675565, 0.268864, 0.269411, 0.268538, 0.0422, -0.0914, -3.25279, 0.544785, -28.0085, -0.0676411, 0.0591222, 0.278139, 0.278608, 0.278055
111, -3.25279, 0.544785, -28.0085, -0.0676411, 0.0591222, 0.278139, 0.278608, 0.278055, 0.2227, -0.3075, -3.28618, 0.572032, -19.3891, -0.0665977, 0.0498789, 0.333394, 0.334372, 0.332661
112, -3.28618, 0.572032, -19.3891, -0.0665977, 0.0498789, 0.333394, 0.334372, 0.332661, 0.4497, -0.3029, -3.32079, 0.594831, -8.41209, -0.0780506, 0.0424423, 0.43627, 0.438404, 0.435233
113, -3.32079, 0.594831, -8.41209, -0.0780506, 0.0424423, 0.43627, 0.438404, 0.435233, 0.4707, -0.4998, -3.36065, 0.613189, 5.98339, -0.0766169, 0.0306301, 0.570723, 0.572957, 0.569259
114, -3.36065, 0.613189, 5.98339, -0.0766169, 0.0306301, 0.570723, 0.572957, 0.569259, 0.3921, 0.2051, -3.40927, 0.622521, 22.3367, -0.121726, 0.00268433, 0.548499, 0.551818, 0.548872
115, -3.40927, 0.622521, 22.3367, -0.121726, 0.00268433, 0.548499, 0.551818, 0.548872, 0.2044, -0.1878, -3.47225, 0.617735, 37.7617, -0.124605, -0.0203743, 0.534782, 0.537847, 0.53348
116, -3.47225, 0.617735, 37.7617, -0.124605, -0.0203743, 0.534782, 0.537847, 0.53348, -0.1165, 0.2067, -3.53185, 0.602485, 51.4049, -0.113963, -0.0411648, 0.401062, 0.402353, 0.401921
